"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search","Article"
"87","dec 10_4",1,6,39,4.3,1,2,"No",4,3398,0,1,"R_3CrPWMMp1q4gYhz",0,"Moderate","Conservative",0,1,0,"4"
"88","dec 10_4",0,5,47,3.1,2,3,"Not Sure",3,967,0,0,"R_1lnwZmJTICXyDTP",0,"Moderate","Conservative",0,0,0,"4"
"89","dec 10_4",0,3,27,5,0,3,"No",3,777,-1,0,"R_9zUdkJVLi8AEs49",0,"Liberal","Conservative",0,0,0,"4"
"90","dec 10_4",0,4,30,4,2,0,"No",3,2109,-1,0,"R_VXagVOBlUplW9Lb",0,"Liberal","Conservative",0,0,0,"4"
"91","dec 10_4",0,4,24,3.8,1,3,"Yes",2,961,0,0,"R_UchXijG0RudTLWh",0,"Moderate","Conservative",0,0,0,"4"
"92","dec 10_4",0,4,39,4.5,2,2,"No",4,951,0,0,"R_stIaDCCU6BYB8R3",0,"Moderate","Conservative",0,0,0,"4"
"93","dec 10_4",0,4,49,2.6,1,0,"Not Sure",1,582,2,0,"R_3rTcUROgQFJgcA6",0,"Conservative","Conservative",1,0,0,"4"
"94","dec 10_4",0,3,41,4.8,0,0,"Not Sure",1,1502,-3,0,"R_DGE1I22cptQMBTH",0,"Liberal","Conservative",0,0,0,"4"
"95","dec 10_4",1,6,59,1.9,0,0,"Yes",2,1743,0,0,"R_2tL0tT563v4WVCh",0,"Moderate","Conservative",0,1,0,"4"
"96","dec 10_4",1,7,30,4.9,1,0,"No",1,3375,-2,0,"R_3irk5JlPe6aaHIp",0,"Liberal","Conservative",0,1,0,"4"
"97","dec 10_4",1,6,70,4.4,1,3,"Yes",4,1526,1,0,"R_2uUmpFyWPT58pxU",0,"Conservative","Conservative",1,1,0,"4"
"98","dec 10_4",0,5,28,4,1,2,"No",3,981,0,1,"R_2EayA9VWdiHqxFn",0,"Moderate","Conservative",0,0,0,"4"
"99","dec 10_4",0,5,30,4,1,1,"Yes",1,787,0,1,"R_9ZBFcuGCOpbC6TD",0,"Moderate","Conservative",0,0,0,"4"
"100","dec 10_4",0,4,56,3.7,1,0,"Yes",4,1480,-2,1,"R_Wj2XeK2APszYX85",0,"Liberal","Conservative",0,0,0,"4"
"101","dec 10_4",0,3,39,4.4,1,0,"Yes",5,830,-2,0,"R_VIOfFURMSPLNV4d",0,"Liberal","Conservative",0,0,0,"4"
"102","dec 10_4",0,6,56,4.6,1,0,"Yes",2,1601,-2,1,"R_3kHtRnxDVofu0M9",0,"Liberal","Conservative",0,0,0,"4"
"103","dec 10_4",0,5,31,3.4,0,0,"Yes",3,1026,2,0,"R_dh9Ujs05ys0UXYZ",0,"Conservative","Conservative",1,0,0,"4"
"104","dec 10_4",1,7,57,3.1,0,1,"Yes",1,1767,3,1,"R_1gSIoTTqWLG7bA9",0,"Conservative","Conservative",1,1,0,"4"
"105","dec 10_4",1,5,59,4.4,0,0,"Yes",2,7648,2,1,"R_2Beq39vDDsdj2nW",0,"Conservative","Conservative",1,1,0,"4"
"106","dec 10_4",1,7,52,4.9,2,1,"Yes",3,1137,2,1,"R_2AThQ6nPgEYj0sO",0,"Conservative","Conservative",1,1,0,"4"
"107","dec 10_4",1,6,43,5,1,1,"Yes",3,1187,3,0,"R_3LhYl8X93M9VNYt",0,"Conservative","Conservative",1,1,0,"4"
"108","dec 10_4",1,7,42,3.5,3,1,"Yes",4,1393,2,1,"R_1GJNQ6PiafrK5FQ",0,"Conservative","Conservative",1,1,0,"4"
"109","dec 10_4",1,7,53,3.7,0,1,"Yes",3,1069,3,1,"R_3oHmGsnoCcE9yrD",0,"Conservative","Conservative",1,1,0,"4"
"110","dec 10_4",0,3,23,3.4,0,2,"No",3,831,-1,1,"R_3nIUOJvTc3mzMty",0,"Liberal","Conservative",0,0,0,"4"
"111","dec 10_4",0,5,65,2.6,1,3,"No",3,3909,2,1,"R_2w13LCIQrt2cy6h",0,"Conservative","Conservative",1,0,0,"4"
"112","dec 10_4",0,3,39,4.4,1,0,"Yes",5,830,-2,0,"R_VIOfFURMSPLNV4d",1,"Liberal","Conservative",0,0,1,"4"
"113","dec 10_4",0,5,56,4.6,1,0,"Yes",2,1601,-2,1,"R_3kHtRnxDVofu0M9",1,"Liberal","Conservative",0,0,1,"4"
"114","dec 10_4",0,3,31,3.4,0,0,"Yes",3,1026,2,0,"R_dh9Ujs05ys0UXYZ",1,"Conservative","Conservative",1,0,1,"4"
"115","dec 10_4",1,7,57,3.1,0,1,"Yes",1,1767,3,1,"R_1gSIoTTqWLG7bA9",1,"Conservative","Conservative",1,1,1,"4"
"116","dec 10_4",1,6,59,4.4,0,0,"Yes",2,7648,2,1,"R_2Beq39vDDsdj2nW",1,"Conservative","Conservative",1,1,1,"4"
"117","dec 10_4",1,7,52,4.9,2,1,"Yes",3,1137,2,1,"R_2AThQ6nPgEYj0sO",1,"Conservative","Conservative",1,1,1,"4"
"118","dec 10_4",1,6,43,5,1,1,"Yes",3,1187,3,0,"R_3LhYl8X93M9VNYt",1,"Conservative","Conservative",1,1,1,"4"
"119","dec 10_4",0,5,42,3.5,3,1,"Yes",4,1393,2,1,"R_1GJNQ6PiafrK5FQ",1,"Conservative","Conservative",1,0,1,"4"
"120","dec 10_4",1,7,53,3.7,0,1,"Yes",3,1069,3,1,"R_3oHmGsnoCcE9yrD",1,"Conservative","Conservative",1,1,1,"4"
"121","dec 10_4",0,4,23,3.4,0,2,"No",3,831,-1,1,"R_3nIUOJvTc3mzMty",1,"Liberal","Conservative",0,0,1,"4"
"122","dec 10_4",1,5,65,2.6,1,3,"No",3,3909,2,1,"R_2w13LCIQrt2cy6h",1,"Conservative","Conservative",1,1,1,"4"
"123","dec 10_5",0,4,56,3.7,0,3,"Yes",1,13238,1,0,"R_2f0DxEgANxVmVj3",1,"Conservative","Neutral",0,0,1,"5"
"124","dec 10_5",1,5,41,4.7,1,1,"No",1,1528,0,0,"R_2uxlhvaqrnaOogV",1,"Moderate","Neutral",0,1,1,"5"
"125","dec 10_5",1,6,48,3.9,0,0,"No",1,1496,3,0,"R_2BkxeEnv0toFWvg",1,"Conservative","Neutral",0,1,1,"5"
"126","dec 10_5",1,4,37,4,0,2,"No",1,1156,-3,0,"R_1KvWA5ZJS8q2Jvu",1,"Liberal","Neutral",0,1,1,"5"
"127","dec 10_5",0,5,59,4.2,0,3,"Yes",3,1699,1,0,"R_BsNxezrh19SfcUF",1,"Conservative","Neutral",0,0,1,"5"
"128","dec 10_5",1,7,31,4.3,0,0,"No",2,1425,NA,1,"R_3iNXwCXMVpgMrWU",1,NA,"Neutral",NA,1,1,"5"
"129","dec 10_5",0,4,21,2.8,0,1,"No",1,1018,1,1,"R_3HttNrCb0ZfSW9X",1,"Conservative","Neutral",0,0,1,"5"
"130","dec 10_5",1,7,37,4.5,0,3,"Yes",4,599,-2,1,"R_2dngjDMRXhsQs0Z",1,"Liberal","Neutral",0,1,1,"5"
"131","dec 10_5",0,2,63,3.5,0,1,"No",1,2146,3,0,"R_72K5pACPnJRr4lP",1,"Conservative","Neutral",0,0,1,"5"
"132","dec 10_5",1,7,46,3.8,1,2,"No",2,1899,2,1,"R_3HBmnqBM5qo853W",1,"Conservative","Neutral",0,1,1,"5"
"133","dec 10_5",1,7,26,4.5,1,1,"No",4,637,1,1,"R_1AqFY8wdK1YgIzD",1,"Conservative","Neutral",0,1,1,"5"
"134","dec 10_5",1,6,NA,3.6,3,1,"No",4,32854,2,1,"R_1dy2GwFdPl2vZYZ",1,"Conservative","Neutral",0,1,1,"5"
"135","dec 10_5",1,6,63,4.2,0,3,"Yes",2,2406,2,0,"R_stBZ6lObXEyisBX",1,"Conservative","Neutral",0,1,1,"5"
"136","dec 10_5",0,4,35,4.3,1,1,"No",1,1670,0,0,"R_PCoJWaP868jygvf",1,"Moderate","Neutral",0,0,1,"5"
"137","dec 10_5",1,7,68,3.1,1,2,"No",4,1197,1,0,"R_SPLy1sf1DBhK0Ol",1,"Conservative","Neutral",0,1,1,"5"
"138","dec 10_5",0,4,24,2.5,1,0,"No",3,1459,0,0,"R_3EcYkwWjSaruIZE",1,"Moderate","Neutral",0,0,1,"5"
"139","dec 10_5",0,4,30,3.2,0,2,"Yes",1,637,-2,1,"R_24cqtZXWgZa173D",1,"Liberal","Neutral",0,0,1,"5"
"140","dec 10_5",0,3,52,3.7,1,2,"No",4,1760,0,1,"R_2s7TiudtzBxMkDs",1,"Moderate","Neutral",0,0,1,"5"
"141","dec 10_5",1,7,30,3.2,0,2,"Yes",1,637,-2,1,"R_24cqtZXWgZa173D",0,"Liberal","Neutral",0,1,0,"5"
"142","dec 10_5",0,3,52,3.7,1,2,"No",4,1760,0,1,"R_2s7TiudtzBxMkDs",0,"Moderate","Neutral",0,0,0,"5"
"143","dec 10_5",1,7,31,4.3,0,0,"No",2,1425,NA,1,"R_3iNXwCXMVpgMrWU",0,NA,"Neutral",NA,1,0,"5"
