"","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search","True_Dummy","Article"
"135","135","1","True",7,3,32,1,1,NA,"0","19.7333333333333","4.4","Jun 10_5","R_yrruFuEnGGmuvjH",NA,1,1,"5"
"136","136","0","CND",4,2,37,1,0,0,"0","9.06666666666667","4.7","Jun 10_5","R_1LHXfL4fsOvZTw5","0",1,0,"5"
"137","137","0","Misl/False",2,3,30,1,2,0,"0","23.8833333333333","3.5","Jun 10_5","R_OffZYJnUKM4PjZT","0",1,0,"5"
"138","138","0","CND",4,1,36,1,0,0,"0","26.5833333333333","5","Jun 10_5","R_3s6s9OqQjqVMZx3","3",1,0,"5"
"139","139","1","True",7,1,33,1,0,0,"0","60","3.8","Jun 10_5","R_xxrtjoBqnKtVxN7","0",1,1,"5"
"140","140","1","True",5,1,18,1,1,0,"0","11.4666666666667","3.2","Jun 10_5","R_2dLqIdnrrEHlxIX","0",1,1,"5"
"141","141","0","CND",5,2,58,1,0,0,"1","32.8333333333333","4","Jun 15_1","R_3Jen0nb6SU8ZsQz","0",1,0,"1"
"142","142","1","True",7,3,48,0,1,0,"0","47.3","2.5","Jun 15_1","R_2PpsgnhNa58jyHy","2",1,1,"1"
"143","143","1","True",4,3,37,0,2,0,"1","13.95","4.3","Jun 15_1","R_bKhQOeZkPdNhMoV","2",1,1,"1"
"144","144","1","True",7,1,62,0,1,0,"1","60","4.4","Jun 15_1","R_1rcCMlYIiZat0Bx","0",1,1,"1"
"145","145","1","True",6,3,71,0,1,0,"1","22.2666666666667","2.7","Jun 15_1","R_2WBXrtUitmsEqN6","0",1,1,"1"
"146","146","1","True",5,3,55,1,1,0,"1","23.3166666666667","4.7","Jun 15_1","R_2S984jyahQtLGrX","3",1,1,"1"
"147","147","1","True",5,3,30,0,1,0,"1","14.4833333333333","5","Jun 15_1","R_2SGDDg8XcOj2p9V","2",1,1,"1"
"148","148","0","CND",6,5,41,0,3,0,"1","24.5","4.5","Jun 15_1","R_PvV9TwGdEF7pkcN","0",1,0,"1"
"149","149","1","True",7,2,79,0,0,0,"0","32.8833333333333","2.4","Jun 15_1","R_2vcBFNplmilA2GE","-3",1,1,"1"
"150","150","0","Misl/False",2,3,64,1,1,0,"0","19.7666666666667","3.8","Jun 15_1","R_3Rn3XjExWlRzjnM","0",1,0,"1"
"151","151","1","True",5,3,22,0,0,0,"0","8.63333333333333","4.5","Jun 15_1","R_3O9yt7bbbu84acq","-1",1,1,"1"
"152","152","1","True",6,3,43,0,3,0,"0","22.3333333333333","4.1","Jun 15_1","R_3M3yvMfq86LQXOD","1",1,1,"1"
"153","153","1","True",7,2,21,0,0,0,"0","22.1666666666667","4.2","Jun 15_1","R_1fZBHqMskucn7Jz","0",1,1,"1"
"154","154","1","True",7,1,69,0,0,0,"1","28.3666666666667","4.2","Jun 15_1","R_1CIVcWUOBizufTr","2",1,1,"1"
"155","155","1","True",6,3,70,0,0,0,"0","12.4833333333333","2.9","Jun 15_1","R_1FM0disXLjSH1Ar","-2",1,1,"1"
"156","156","0","CND",5,1,41,0,0,0,"0","14.5833333333333","4.5","Jun 15_1","R_2tsdikRHjiY4RBj","-3",1,0,"1"
"157","157","1","True",6,3,36,0,3,0,"0","17.55","4.6","Jun 15_1","R_2CpNbiH0CdKiQso","0",1,1,"1"
"158","158","0","Misl/False",1,3,27,0,1,0,"0","30.05","4.7","Jun 15_1","R_3hgeuDy4zW2N5F0","-2",1,0,"1"
"159","159","1","True",6,2,42,0,0,0,"1","16.6333333333333","4.6","Jun 15_1","R_3PdGpMt7MBj3r60","0",1,1,"1"
"160","160","0","Misl/False",5,1,30,0,0,0,"0","6.86666666666667","3.2","Jun 15_1","R_3HOzgez6SsyTArZ","0",1,0,"1"
"161","161","0","Misl/False",2,4,66,0,1,0,"1","24.7333333333333","4.9","Jun 15_1","R_BRsB1hwafWw8Q9P","2",1,0,"1"
"162","162","1","True",7,4,75,0,1,0,"0","16.3666666666667","4.1","Jun 15_1","R_1IKQRRUwY5sDTjM","-1",1,1,"1"
"163","163","1","True",7,1,54,0,0,0,"0","22.0833333333333","3.1","Jun 15_1","R_2Blck6Ep1nHwVm0","0",1,1,"1"
"164","164","1","True",6,1,19,1,0,0,"1","23.45","4.6","Jun 15_1","R_Rr7F0r1eZjmlTgt","-2",1,1,"1"
"165","165","1","True",6,1,19,1,0,0,"0","22.9333333333333","4","Jun 15_1","R_3MuGCkEaIIVtx8a","1",1,1,"1"
"166","166","0","Misl/False",5,1,19,1,1,0,"0","15.6666666666667","3.8","Jun 15_1","R_1LzpyoGKj8umjQl","-1",1,0,"1"
"167","167","1","True",7,1,32,1,1,0,"1","8.3","5","Jun 15_1","R_2EzrMxsTOVHARTF","0",1,1,"1"
"168","168","1","True",5,1,21,1,1,0,"0","11.7666666666667","3.3","Jun 15_1","R_12gs3cucalO9SaC","2",1,1,"1"
"169","169","1","True",5,1,19,1,3,0,"0","22.0833333333333","3.9","Jun 15_1","R_3nOcxiGRcFQ6GjC","-2",1,1,"1"
"170","170","0","CND",5,0,21,1,0,0,"0","13.25","3.4","Jun 15_1","R_w4tNvHdslbAre3T","-3",1,0,"1"
"171","171","0","Misl/False",5,2,40,1,0,0,"0","7.96666666666667","2.1","Jun 15_1","R_1jqcrH7y816b9t0","3",1,0,"1"
"172","172","1","True",5,4,39,1,0,0,"0","19.8833333333333","3.1","Jun 15_1","R_79RvMEpFAdar3QB","0",1,1,"1"
