"","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Article_day","FC_Eval","Treatment"
"154","R_2Csr3pm3VIJZzX3","Day_2","2","Coul",4,3,25,1,1,2,2,4,1,"Extremely Conservative",53,3,0,"Day_2_2","No Mode",0
"155","R_2DNZzcW1wVwK0Mv","Day_2","5","Coul",6,3,32,1,0,5,0,4,2,"Moderate: Middle of the road",39,0,0,"Day_2_5","True",0
"156","R_2EAaNc4rUmM3wRA","Day_2","3","True",7,4,33,0,0,5,0,2,1,"Extremely Liberal",57,-3,1,"Day_2_3","True",0
"157","R_2EDY652bW16QN6p","Day_2","5","True",7,4,60,1,0,5,0,6,4,"Slightly Liberal",57,-1,1,"Day_2_5","True",0
"158","R_2EFUY9X6CrvHDNO","Day_2","5","Misl",1,1,35,1,0,5,0,2,1,"Slightly Conservative",51,1,0,"Day_2_5","True",0
"159","R_2EuFVzXJ1SB5qIA","Day_2","5","Misl",7,4,40,0,0,5,0,5,2,"Extremely Conservative",41,3,0,"Day_2_5","True",0
"160","R_2fJT2zLbqpXeQF2","Day_2","1","True",7,4,57,1,0,3,2,2,1,"Moderate: Middle of the road",55,0,1,"Day_2_1","True",0
"161","R_2OGubozOACUVNzK","Day_2","5","True",5,4,43,0,0,5,0,4,3,"Slightly Conservative",63,1,1,"Day_2_5","True",0
"162","R_2qCMAEpC6WqLmGd","Day_2","1","True",7,4,51,1,0,3,2,3,2,"Moderate: Middle of the road",49,0,1,"Day_2_1","True",0
"163","R_2R9UxXuHmlqLvVD","Day_2","3","True",6,4,52,0,0,5,0,2,1,"Moderate: Middle of the road",35,0,1,"Day_2_3","True",0
"164","R_2sRu7h4WKSgko7q","Day_2","5","True",7,4,42,0,0,5,0,3,1,"Liberal",59,-2,1,"Day_2_5","True",0
"165","R_2Tn2f1ZZbBPjliO","Day_2","5","True",7,4,29,1,0,5,0,4,2,"Slightly Liberal",53,-1,1,"Day_2_5","True",0
"166","R_2TuSqArlyjt9FkA","Day_2","5","True",7,4,49,1,0,5,0,5,2,"Liberal",64,-2,1,"Day_2_5","True",0
"167","R_2UgBqONhL5IMuhf","Day_2","4","True",6,4,65,0,0,5,0,4,1,"Liberal",60,-2,1,"Day_2_4","True",0
"168","R_2v05VX2iwVVA22t","Day_2","1","True",6,4,31,0,0,3,2,2,2,"Liberal",59,-2,1,"Day_2_1","True",0
"169","R_2wcPqRnMTtiagpL","Day_2","1","True",7,4,57,1,0,3,2,5,4,"Conservative",62,2,1,"Day_2_1","True",0
"170","R_2XpTUW1Q1DJ81Qz","Day_2","4","True",6,4,49,0,0,5,0,2,2,"Extremely Conservative",46,3,1,"Day_2_4","True",0
"171","R_2YF00a3jAtdNuZn","Day_2","4","True",7,4,34,1,0,5,0,4,2,"Conservative",61,2,1,"Day_2_4","True",0
"172","R_2YwSdZiA0B8D1tm","Day_2","4","True",7,4,33,0,0,5,0,3,2,"Liberal",45,-2,1,"Day_2_4","True",0
"173","R_2YyAdUXFNqcqLDO","Day_2","3","True",7,4,52,1,0,5,0,4,4,"Moderate: Middle of the road",62,0,1,"Day_2_3","True",0
"174","R_2zD8SZT04iuZjF7","Day_2","2","True",5,3,31,0,1,2,2,4,2,"Slightly Liberal",47,-1,1,"Day_2_2","No Mode",0
