"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search"
"92","dec 10_2",1,6,49,3.9,2,0,"Yes",1,1425,1,1,"R_1K8VDFUzDq0ro6i",1,"Conservative","Neutral",0,1,1
"93","dec 10_2",0,1,19,3.2,0,3,"No",1,2251,-2,1,"R_3nkIzwhN9uNkpXx",1,"Liberal","Neutral",0,0,1
"94","dec 10_2",1,7,44,4.7,2,1,"No",4,2887,-2,1,"R_3OrBH662l78IuLv",1,"Liberal","Neutral",0,1,1
"95","dec 10_2",0,2,72,3.1,0,0,"Yes",1,1666,0,0,"R_3jfjZ8ynUJ0ruTH",1,"Moderate","Neutral",0,0,1
"96","dec 10_2",1,4,23,3.6,1,2,"No",3,586,1,0,"R_3phRH67l2fnvQRX",1,"Conservative","Neutral",0,1,1
"97","dec 10_2",0,3,45,4.6,0,0,"Yes",1,1275,-1,0,"R_24uvWWNaA2nZNhS",1,"Liberal","Neutral",0,0,1
"98","dec 10_2",1,5,50,4.3,2,1,"Yes",4,2286,2,0,"R_1djdnoZdUvxZ3Li",1,"Conservative","Neutral",0,1,1
"99","dec 10_2",0,2,30,4.5,2,0,"No",3,882,-2,0,"R_3jdjyLa6azFjUaK",1,"Liberal","Neutral",0,0,1
"100","dec 10_2",1,5,24,4,1,3,"No",1,1247,-1,0,"R_3ZPo94gfZl057i1",1,"Liberal","Neutral",0,1,1
"101","dec 10_2",1,7,53,2.5,0,1,"Yes",1,1280,1,0,"R_3hxuxMnsYWMUWyb",1,"Conservative","Neutral",0,1,1
"102","dec 10_2",1,4,39,4,1,2,"Yes",3,1005,0,0,"R_2Sqv4D8wRKeJci6",1,"Moderate","Neutral",0,1,1
"103","dec 10_2",0,3,18,3.7,0,2,"No",0,1111,0,0,"R_31uRQdRb0AV9MMY",1,"Moderate","Neutral",0,0,1
"104","dec 10_2",0,4,70,1.7,1,1,"Not Sure",3,3004,0,0,"R_2c2ujagHFEBFYSF",1,"Moderate","Neutral",0,0,1
"105","dec 10_2",0,2,57,5,0,3,"Yes",1,1260,-2,0,"R_2qz6a6muZnuKN1z",1,"Liberal","Neutral",0,0,1
"106","dec 10_2",0,4,39,4.5,1,3,"Not Sure",1,3113,0,0,"R_1rADnMhl730OVGp",1,"Moderate","Neutral",0,0,1
"107","dec 10_2",0,5,63,3.6,0,2,"No",4,1345,-3,1,"R_3O018f0ZlFktcZE",1,"Liberal","Neutral",0,0,1
"108","dec 10_2",1,6,63,4.6,0,2,"Not Sure",2,1434,0,1,"R_2saomntQhsW4mGg",1,"Moderate","Neutral",0,1,1
"109","dec 10_2",0,2,26,4.8,1,4,"No",3,761,-3,1,"R_2ylQ9fjAXY21Pde",1,"Liberal","Neutral",0,0,1
"110","dec 10_2",0,2,36,4.5,0,3,"Not Sure",4,1614,-3,1,"R_2YnVUGb8gYRONEo",1,"Liberal","Neutral",0,0,1
